label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scalem.1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
CF9212rates.kF,0.000354035,2.37E-06,None,,0,False,True
CF9212scale.WLtr1,0.25521478,4.49E-05,None,,,False,True
CF9212scale.WLtr2,0.558854174,8.53E-05,None,,,False,True
CF9212scale.WLtr4,1,None,None,,,False,False
CF9212scalem.1,1,None,None,,,False,False
CF9212scalem.WLtr1a,0.011627739,0.000104841,$CF9212scalem.WLtr4a,,,False,False
CF9212scalem.WLtr2a,0.008433243,4.95E-05,$CF9212scalem.WLtr4a,,,False,False
CF9212scalem.WLtr4a,0.016301191,7.69E-05,None,,,False,True
CF9212irfWLtr1.center,56.92138199,0.005897608,None,,0,False,True
CF9212irfWLtr1.width1,2.079907887,0.036214314,None,,0,False,True
CF9212irfWLtr2.center,56.73553108,0.005991016,None,,0,False,True
CF9212irfWLtr2.width1,2.757932659,0.005788749,None,,0,False,True
CF9212irfWLtr4.center,214.5332716,0.008092807,None,,0,False,True
CF9212irfWLtr4.width1,7.834909712,0.014571892,None,,0,False,True
brates.k21,0.169052699,0.000869729,None,,0,False,True
brates.k32,0.053172586,0.000310869,None,,0,False,True
brates.k33,0.023245191,4.35E-05,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.disp1,-4.460118945,0.01484736,None,,,False,True
irf.disp2,4.985460015,0.039272004,None,,0,False,True
